Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-03-09 12:11:53.535 +0530,"Success",0:00:00,0,0,0,"20220309_121153.535/LogFile.txt","","",1
2022-03-09 12:12:04.128 +0530,"Success",0:00:00,0,0,0,"20220309_121204.128/LogFile.txt","","",1
2022-03-09 12:12:11.491 +0530,"Success",0:00:00,0,0,0,"20220309_121211.491/LogFile.txt","","",1
2022-03-09 12:13:14.094 +0530,"Success",0:00:00,0,0,0,"20220309_121314.094/LogFile.txt","","",1
2022-03-09 12:14:34.599 +0530,"Success",0:00:00,0,0,0,"20220309_121434.599/LogFile.txt","","",1
