Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-01-28 21:21:09.798 +0530,"Failure",0:00:00,1,0,1,"20220128_212109.798/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property  Restricted Search Rectangle ((0,270),(1920,810))\n",0
2022-01-28 21:21:46.321 +0530,"Failure",0:00:00,1,0,1,"20220128_212146.321/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property  Restricted Search Rectangle ((0,270),(1920,810))\n",0
2022-01-28 21:23:20.850 +0530,"Failure",0:00:00,1,0,1,"20220128_212320.850/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property  Restricted Search Rectangle ((0,270),(1920,810))\n",0
2022-01-28 21:23:57.915 +0530,"Failure",0:00:00,1,0,1,"20220128_212357.915/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property  Restricted Search Rectangle ((0,270),(1920,810))\n",0
2022-01-28 21:24:47.371 +0530,"Aborted",0:00:32,1,0,0,"20220128_212447.371/LogFile.txt","","",0
2022-01-28 21:27:05.126 +0530,"Aborted",0:01:55,1,0,1,"20220128_212705.126/LogFile.txt","","",0
2022-01-28 21:29:14.738 +0530,"Aborted",0:00:36,1,0,0,"20220128_212914.738/LogFile.txt","","",0
2022-01-28 21:30:52.650 +0530,"Aborted",0:00:25,1,0,0,"20220128_213052.650/LogFile.txt","","",0
2022-01-28 21:32:23.927 +0530,"Aborted",0:01:51,1,0,1,"20220128_213223.927/LogFile.txt","","",0
2022-01-28 21:34:18.220 +0530,"Aborted",0:03:16,1,0,1,"20220128_213418.220/LogFile.txt","","",0
2022-01-28 21:38:49.841 +0530,"Aborted",0:00:49,1,0,0,"20220128_213849.841/LogFile.txt","","",0
2022-01-28 21:39:51.727 +0530,"Aborted",0:02:04,1,0,0,"20220128_213951.727/LogFile.txt","","",0
2022-01-28 21:45:31.233 +0530,"Aborted",0:00:11,1,0,0,"20220128_214531.233/LogFile.txt","","",0
2022-01-28 21:46:59.024 +0530,"Aborted",0:00:07,1,0,0,"20220128_214659.024/LogFile.txt","","",0
2022-01-28 21:49:26.909 +0530,"Aborted",0:00:39,1,0,1,"20220128_214926.909/LogFile.txt","","",0
2022-01-28 21:50:20.651 +0530,"Aborted",0:00:18,1,0,1,"20220128_215020.651/LogFile.txt","","",0
2022-01-28 21:51:57.359 +0530,"Aborted",0:01:25,1,0,1,"20220128_215157.359/LogFile.txt","","",0
2022-01-28 21:55:15.851 +0530,"Aborted",0:00:02,1,0,0,"20220128_215515.851/LogFile.txt","","",0
2022-01-28 21:55:34.905 +0530,"Aborted",0:00:57,1,0,1,"20220128_215534.905/LogFile.txt","","",0
2022-01-28 21:56:54.583 +0530,"Failure",0:03:58,1,0,0,"20220128_215654.583/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'orderconfirmation'",0
2022-01-28 22:02:38.781 +0530,"Success",0:04:14,0,0,0,"20220128_220238.781/LogFile.txt","","",1
2022-01-30 13:59:39.370 +0530,"Aborted",0:00:39,1,0,1,"20220130_135939.370/LogFile.txt","","",0
2022-01-30 14:00:53.058 +0530,"Aborted",0:02:56,1,0,1,"20220130_140053.058/LogFile.txt","","",0
2022-01-30 14:07:11.168 +0530,"Aborted",0:06:37,1,0,1,"20220130_140711.168/LogFile.txt","","",0
